From	To
SHSA8_MOUSE	Shisa8
SRBP2_MOUSE	Srebf2
MEII1_MOUSE	Mei1
NH2L1_MOUSE	Snu13
XRCC6_MOUSE	Xrcc6
DESI1_MOUSE	Desi1
NDUBB_MOUSE	Ndufb11
PMM1_MOUSE	Pmm1
CSDC2_MOUSE	Csdc2
RPC8_MOUSE	Polr3h
PHF5A_MOUSE	Phf5a
TOB2_MOUSE	Tob2
TEF_MOUSE	Tef
CHADL_MOUSE	Chadl
LMBL2_MOUSE	L3mbtl2
EP300_MOUSE	Ep300
MYH9_MOUSE	Myh9
THIOM_MOUSE	Txn2
FXRD2_MOUSE	Foxred2
EIF3D_MOUSE	Eif3d
CCG2_MOUSE	Cacng2
IFT27_MOUSE	Ift27
PRVA_MOUSE	Pvalb
NCF4_MOUSE	Ncf4
IL3RB_MOUSE	Csf2rb
TEX33_MOUSE	Tex33
THTR_MOUSE	Tst
THTM_MOUSE	Mpst
KCTD5_MOUSE	Kctd5
TMPS6_MOUSE	Tmprss6
IL2RB_MOUSE	Il2rb
SSR3_MOUSE	Sstr3
RAC2_MOUSE	Rac2
CYH4_MOUSE	Cyth4
PPR29_MOUSE	Elfn2
MFNG_MOUSE	Mfng
CAR10_MOUSE	Card10
BORG5_MOUSE	Cdc42ep1
LEG2_MOUSE	Lgals2
GGA1_MOUSE	Gga1
3BP1_MOUSE	Sh3bp1
PLPP_MOUSE	Pdxp
LEG1_MOUSE	Lgals1
TARA_MOUSE	Triobp
H10_MOUSE	H1f0
KBL_MOUSE	Gcat
GALR3_MOUSE	Galr3
ANR54_MOUSE	Ankrd54
EIF3L_MOUSE	Eif3l
MILK1_MOUSE	Micall1
RPAB2_MOUSE	Polr2f
SOX10_MOUSE	Sox10
PICK1_MOUSE	Pick1
MOT3_MOUSE	Slc16a8
BI2L2_MOUSE	Baiap2l2
PLPL9_MOUSE	Pla2g6
MAFF_MOUSE	Maff
T184B_MOUSE	Tmem184b
KC1E_MOUSE	Csnk1e
KCNJ4_MOUSE	Kcnj4
ERD23_MOUSE	Kdelr3
DMC1_MOUSE	Dmc1
F227B_MOUSE	Fam227b
CBY1_MOUSE	Cby1
TOM22_MOUSE	Tomm22
JOS1_MOUSE	Josd1
GTPB1_MOUSE	Gtpbp1
SUN2_MOUSE	Sun2
DNAL4_MOUSE	Dnal4
NPTXR_MOUSE	Nptxr
CBX6_MOUSE	Cbx6
ABEC3_MOUSE	Apobec3
CBX7_MOUSE	Cbx7
PDGFB_MOUSE	Pdgfb
SNG1_MOUSE	Syngr1
MGAT3_MOUSE	Mgat3
MID51_MOUSE	Mief1
ATF4_MOUSE	Atf4
AROS_MOUSE	Rps19bp1
CAC1H_MOUSE	Cacna1h
ZAN_MOUSE	Zan
EPN2_MOUSE	Epn2
GRAP2_MOUSE	Grap2
FA83F_MOUSE	Fam83f
TNR6B_MOUSE	Tnrc6b
PUR8_MOUSE	Adsl
MRTFA_MOUSE	Mrtfa
MCHR1_MOUSE	Mchr1
XPP3_MOUSE	Xpnpep3
RBX1_MOUSE	Rbx1
RFOX2_MOUSE	Rbfox2
MYG_MOUSE	Mb
PTTG1_MOUSE	Pttg1
ZN250_MOUSE	Znf250
RHG39_MOUSE	Arhgap39
LRC24_MOUSE	Lrrc24
RECQ4_MOUSE	Recql4
MFSD3_MOUSE	Mfsd3
ALAT1_MOUSE	Gpt
PP16A_MOUSE	Ppp1r16a
KIFC2_MOUSE	Kifc2
CYHR1_MOUSE	Cyhr1
TONSL_MOUSE	Tonsl
S39A4_MOUSE	Slc39a4
CPSF1_MOUSE	Cpsf1
ADCK5_MOUSE	Adck5
S52A2_MOUSE	Slc52a2
FBXL6_MOUSE	Fbxl6
SCRT1_MOUSE	Scrt1
DGAT1_MOUSE	Dgat1
BOP1_MOUSE	Bop1
SCX_MOUSE	Scx
MRO2B_MOUSE	Mroh2b
MRO2A_MOUSE	Mroh2a
TSSK5_MOUSE	Tssk5
HGH1_MOUSE	Hgh1
POC1B_MOUSE	Poc1b
MAF1_MOUSE	Maf1
SHRPN_MOUSE	Sharpin
CY1_MOUSE	Cyc1
GPAA1_MOUSE	Gpaa1
EXOS4_MOUSE	Exosc4
OPLA_MOUSE	Oplah
SPERI_MOUSE	Spatc1
LFG1_MOUSE	Grina
PLEC_MOUSE	Plec
EPIPL_MOUSE	Eppk1
SCRIB_MOUSE	Scrib
FCL_MOUSE	Tsta3
P5CR3_MOUSE	Pycr3
TIGD5_MOUSE	Tigd5
EF1D_MOUSE	Eef1d
PNCB_MOUSE	Naprt
GSDMD_MOUSE	Gsdmdc1
MAFA_MOUSE	Mafa
RHPN1_MOUSE	Rhpn1
TOP1M_MOUSE	Top1mt
ZFP41_MOUSE	Zfp41
HDBP1_MOUSE	Gpihbp1
LY6I_MOUSE	Ly6i
LY6E_MOUSE	Ly6e
LYNX1_MOUSE	Lynx1
C11B2_MOUSE	Cyp11b2
LY6K_MOUSE	Ly6k
LY6D_MOUSE	Ly6d
LYPD2_MOUSE	Lypd2
THEM6_MOUSE	Them6
PSCA_MOUSE	Psca
JERKY_MOUSE	Jrk
ARC_MOUSE	Arc
AGRB1_MOUSE	Adgrb1
TP4A3_MOUSE	Ptp4a3
GPR20_MOUSE	Gpr20
S45A4_MOUSE	Slc45a4
DEND3_MOUSE	Dennd3
FAK1_MOUSE	Ptk2
AGO2_MOUSE	Ago2
CHRC1_MOUSE	Chrac1
WASP_MOUSE	Was
TPPC9_MOUSE	Trappc9
KCNK9_MOUSE	Kcnk9
PRAL1_MOUSE	Pramel1
1433E_MOUSE	Ywhae
C1QA_MOUSE	C1qa
F135B_MOUSE	Fam135b
RS14_MOUSE	Rps14
KHDR3_MOUSE	Khdrbs3
ZFAT_MOUSE	Zfat
SIA4A_MOUSE	St3gal1
NDRG1_MOUSE	Ndrg1
WISP1_MOUSE	Wisp1
THYG_MOUSE	Tg
SLAP1_MOUSE	Sla
P20L1_MOUSE	Phf20l1
TMM71_MOUSE	Tmem71
TILB_MOUSE	Lrrc6
KCNQ3_MOUSE	Kcnq3
ACTT1_MOUSE	Actrt1
SCMH1_MOUSE	Scmh1
CB078_MOUSE	Gm5592
ZXDB_MOUSE	Zxdb
IF172_MOUSE	Ift172
DMRTC_MOUSE	Dmrtc1
PTPRJ_MOUSE	Ptprj
NU160_MOUSE	Nup160
FNBP4_MOUSE	Fnbp4
MTCH2_MOUSE	Mtch2
C1QT4_MOUSE	C1qtnf4
NDUS3_MOUSE	Ndufs3
KBTB4_MOUSE	Kbtbd4
PTPM1_MOUSE	Ptpmt1
CELF1_MOUSE	Celf1
PRS6A_MOUSE	Psmc3
S39AD_MOUSE	Slc39a13
SPI1_MOUSE	Spi1
MYPC3_MOUSE	Mybpc3
MADD_MOUSE	Madd
NR1H3_MOUSE	Nr1h3
PPAL_MOUSE	Acp2
DDB2_MOUSE	Ddb2
PACN3_MOUSE	Pacsin3
CKAP5_MOUSE	Ckap5
THRB_MOUSE	F2
RHG01_MOUSE	Arhgap1
ATG13_MOUSE	Atg13
HARB1_MOUSE	Harbi1
AMRA1_MOUSE	Ambra1
ACM4_MOUSE	Chrm4
DGKZ_MOUSE	Dgkz
CR3L1_MOUSE	Creb3l1
PF21A_MOUSE	Phf21a
LARG2_MOUSE	Large2
PEX16_MOUSE	Pex16
JIP1_MOUSE	Mapk8ip1
CRY2_MOUSE	Cry2
FUCT1_MOUSE	Slc35c1
TOM6_MOUSE	Tomm6
CHST1_MOUSE	Chst1
SYT13_MOUSE	Syt13
PRD11_MOUSE	Prdm11
P5I11_MOUSE	Trp53i11
TSN18_MOUSE	Tspan18
CD82_MOUSE	Cd82
ALX4_MOUSE	Alx4
EXT2_MOUSE	Ext2
CK096_MOUSE	Ag2
DHB12_MOUSE	Hsd17b12
TTC17_MOUSE	Ttc17
API5_MOUSE	Api5
NUA4L_MOUSE	Ndufa4l2
LSM8_MOUSE	Lsm8
LRC4C_MOUSE	Lrrc4c
BTF3_MOUSE	Btf3
CK074_MOUSE	Nwc
RAG2_MOUSE	Rag2
RAG1_MOUSE	Rag1
TRAF6_MOUSE	Traf6
PRR5L_MOUSE	Prr5l
COMD9_MOUSE	Commd9
LRAD3_MOUSE	Ldlrad3
TRI44_MOUSE	Trim44
FJX1_MOUSE	Fjx1
PAMR1_MOUSE	Pamr1
EAA2_MOUSE	Slc1a2
CD44_MOUSE	Cd44
ODPX_MOUSE	Pdhx
MTNB_MOUSE	Apip
EHF_MOUSE	Ehf
ELF5_MOUSE	Elf5
CATA_MOUSE	Cat
ABTB2_MOUSE	Abtb2
NAT10_MOUSE	Nat10
CAPR1_MOUSE	Caprin1
RBTN2_MOUSE	Lmo2
FBX3_MOUSE	Fbxo3
CD59B_MOUSE	Cd59b
K1549_MOUSE	Kiaa1549
HIPK3_MOUSE	Hipk3
CSTF3_MOUSE	Cstf3
T11L1_MOUSE	Tcp11l1
DEPD7_MOUSE	Depdc7
PRR12_MOUSE	Prr12
TMG4_MOUSE	Prrg4
CCD73_MOUSE	Ccdc73
EIF3M_MOUSE	Eif3m
WT1_MOUSE	Wt1
RCN1_MOUSE	Rcn1
PAX6_MOUSE	Pax6
ELP4_MOUSE	Elp4
IMP1L_MOUSE	Immp1l
DJC24_MOUSE	Dnajc24
MPPD2_MOUSE	Mpped2
AL14E_MOUSE	Arl14ep
OBP1A_MOUSE	Obp1a
FSHB_MOUSE	Fshb
KCNA4_MOUSE	Kcna4
MET15_MOUSE	Mettl15
KI18A_MOUSE	Kif18a
BDNF_MOUSE	Bdnf
LGR4_MOUSE	Lgr4
CCD34_MOUSE	Ccdc34
BODG_MOUSE	Bbox1
FIBIN_MOUSE	Fibin
FLOT2_MOUSE	Flot2
SC5AC_MOUSE	Slc5a12
ANO3_MOUSE	Ano3
MUC15_MOUSE	Muc15
IMA1_MOUSE	Kpna2
LPCT4_MOUSE	Lpcat4
NUTM1_MOUSE	Nutm1
NOP10_MOUSE	Nop10
S12A6_MOUSE	Slc12a6
EMC4_MOUSE	Emc4
KTBL1_MOUSE	Katnbl1
EMC7_MOUSE	Emc7
ACM5_MOUSE	Chrm5
AVEN_MOUSE	Aven
RYR3_MOUSE	Ryr3
TMC5B_MOUSE	Tmco5b
FMN1_MOUSE	Fmn1
GREM1_MOUSE	Grem1
7B2_MOUSE	Scg5
RHGBA_MOUSE	Arhgap11a
CXD2_MOUSE	Gjd2
ACTC_MOUSE	Actc1
AQR_MOUSE	Aqr
ZN770_MOUSE	Znf770
DPH6_MOUSE	Dph6
MEIS2_MOUSE	Meis2
TMC5A_MOUSE	Tmco5a
SPRE1_MOUSE	Spred1
FA98B_MOUSE	Fam98b
GRP1_MOUSE	Rasgrp1
TSP1_MOUSE	Thbs1
GP176_MOUSE	Gpr176
E2AK4_MOUSE	Eif2ak4
SRP14_MOUSE	Srp14
BMF_MOUSE	Bmf
BUB1B_MOUSE	Bub1b
ANR63_MOUSE	Ankrd63
PLCB2_MOUSE	Plcb2
CCD9B_MOUSE	Ccdc9b
DISP2_MOUSE	Disp2
SKAP_MOUSE	Knstrn
IVD_MOUSE	Ivd
BAHD1_MOUSE	Bahd1
CHSTE_MOUSE	Chst14
CCD32_MOUSE	Ccdc32
RUSD2_MOUSE	Rpusd2
KNL1_MOUSE	Knl1
RAD51_MOUSE	Rad51
RMD3_MOUSE	Rmdn3
GFRP_MOUSE	Gchfr
CO062_MOUSE	Gm14137
DJC17_MOUSE	Dnajc17
ANCHR_MOUSE	Zfyve19
PP14D_MOUSE	Ppp1r14d
SPIT1_MOUSE	Spint1
RHOV_MOUSE	Rhov
VPS18_MOUSE	Vps18
DLL4_MOUSE	Dll4
CHAC1_MOUSE	Chac1
INO80_MOUSE	Ino80
EXD1_MOUSE	Exd1
CHP1_MOUSE	Chp1
MS18B_MOUSE	Oip5
NUSAP_MOUSE	Nusap1
CIA30_MOUSE	Ndufaf1
RTF1_MOUSE	Rtf1
LTK_MOUSE	Ltk
RPAP1_MOUSE	Rpap1
TYRO3_MOUSE	Tyro3
MGAP_MOUSE	Mga
MABP1_MOUSE	Mapkbp1
PA24B_MOUSE	Pla2g4b
EHD4_MOUSE	Ehd4
PA24E_MOUSE	Pla2g4e
PA24D_MOUSE	Pla2g4d
VPS39_MOUSE	Vps39
TM87A_MOUSE	Tmem87a
GANC_MOUSE	Ganc
CAN3_MOUSE	Capn3
ZN106_MOUSE	Znf106
SNP23_MOUSE	Snap23
LRC57_MOUSE	Lrrc57
HAUS2_MOUSE	Haus2
STAR9_MOUSE	Stard9
TTBK2_MOUSE	Ttbk2
UBR1_MOUSE	Ubr1
TMM62_MOUSE	Tmem62
TGM5_MOUSE	Tgm5
ADAL_MOUSE	Adal
GCP4_MOUSE	Tubgcp4
TP53B_MOUSE	Tp53bp1
MAP1A_MOUSE	Map1a
VIP1_MOUSE	Ppip5k1
KCRU_MOUSE	Ckmt1
STRC_MOUSE	Strc
CTSR2_MOUSE	Catsper2
PDIA3_MOUSE	Pdia3
ELL3_MOUSE	Ell3
HYPK_MOUSE	Hypk
MFA1B_MOUSE	Mfap1b
WDR76_MOUSE	Wdr76
FRMD5_MOUSE	Frmd5
CASC4_MOUSE	Casc4
CTSL2_MOUSE	Ctdspl2
TRI69_MOUSE	Trim69
DHSO_MOUSE	Sord
NOX3_MOUSE	Nox3
PERE_MOUSE	Epx
DOXA2_MOUSE	Duoxa2
DOXA1_MOUSE	Duoxa1
SHF_MOUSE	Shf
S28A2_MOUSE	Slc28a2
GATM_MOUSE	Gatm
AFG2H_MOUSE	Spata5
ZNT4_MOUSE	Slc30a4
BL1S6_MOUSE	Bloc1s6
SQOR_MOUSE	Sqor
COX5A_MOUSE	Cox5a
SEM6D_MOUSE	Sema6d
NCKX5_MOUSE	Slc24a5
MYEF2_MOUSE	Myef2
CTXN2_MOUSE	Ctxn2
S12A1_MOUSE	Slc12a1
FBN1_MOUSE	Fbn1
CE152_MOUSE	Cep152
EID1_MOUSE	Eid1
SHC4_MOUSE	Shc4
SBP2L_MOUSE	Secisbp2l
GALK2_MOUSE	Galk2
FGF7_MOUSE	Fgf7
DTWD1_MOUSE	Dtwd1
S27A2_MOUSE	Slc27a2
DCHS_MOUSE	Hdc
GABP1_MOUSE	Gabpb1
UBP8_MOUSE	Usp8
TRPM7_MOUSE	Trpm7
SPP2A_MOUSE	Sppl2a
AP4E1_MOUSE	Ap4e1
CND2_MOUSE	Ncaph
IPIL1_MOUSE	Itpripl1
U520_MOUSE	Snrnp200
CIAO1_MOUSE	Ciao1
TM127_MOUSE	Tmem127
STAR7_MOUSE	Stard7
DUS2_MOUSE	Dusp2
ADA2B_MOUSE	Adra2b
GPAT2_MOUSE	Gpat2
FAHD2_MOUSE	Fahd2
CSEN_MOUSE	Kcnip3
PROM2_MOUSE	Prom2
ZNF2_MOUSE	Znf2
RT05_MOUSE	Mrps5
MAL_MOUSE	Mal
MALL_MOUSE	Mall
NPHP1_MOUSE	Nphp1
BUB1_MOUSE	Bub1
ACOXL_MOUSE	Acoxl
SPE4A_MOUSE	Spdye4a
APC1_MOUSE	Anapc1
MERTK_MOUSE	Mertk
TM87B_MOUSE	Tmem87b
FBLN7_MOUSE	Fbln7
ZC3H8_MOUSE	Zc3h8
ZC3H6_MOUSE	Zc3h6
CTNA2_MOUSE	Ctnna2
TTL_MOUSE	Ttl
RPA2_MOUSE	Polr1b
S20A1_MOUSE	Slc20a1
CKP2L_MOUSE	Ckap2l
IL1B_MOUSE	Il1b
PDYN_MOUSE	Pdyn
STK35_MOUSE	Stk35
TGM3_MOUSE	Tgm3
RSMN_MOUSE	Snrpn
TMC2_MOUSE	Tmc2
IDHG1_MOUSE	Idh3g
COE4_MOUSE	Ebf4
NDUS8_MOUSE	Ndufs8
CPXM1_MOUSE	Cpxm1
TM239_MOUSE	Tmem239
PED1A_MOUSE	Pced1a
VPS16_MOUSE	Vps16
PTPRA_MOUSE	Ptpra
NEU1_MOUSE	Oxt
NEU2_MOUSE	Avp
RNF37_MOUSE	Ubox5
FAKD5_MOUSE	Fastkd5
LZTS3_MOUSE	Lzts3
DDRGK_MOUSE	Ddrgk1
ITPA_MOUSE	Itpa
S4A11_MOUSE	Slc4a11
ATRN_MOUSE	Atrn
SN_MOUSE	Siglec1
HS12B_MOUSE	Hspa12b
SPEF1_MOUSE	Spef1
MPIP2_MOUSE	Cdc25b
AP5S1_MOUSE	Ap5s1
PANK3_MOUSE	Pank3
RNF24_MOUSE	Rnf24
SMOX_MOUSE	Smox
ADA1D_MOUSE	Adra1d
PRIO_MOUSE	Prnp
PRND_MOUSE	Prnd
RASF2_MOUSE	Rassf2
S23A2_MOUSE	Slc23a2
CDS2_MOUSE	Cds2
PKR2_MOUSE	Prokr2
GPCP1_MOUSE	Gpcpd1
SHLD1_MOUSE	Shld1
SCG1_MOUSE	Chgb
TRM6_MOUSE	Trmt6
MCM8_MOUSE	Mcm8
FERM1_MOUSE	Fermt1
BMP2_MOUSE	Bmp2
HAOX1_MOUSE	Hao1
TMX4_MOUSE	Tmx4
PLCB1_MOUSE	Plcb1
LAMP5_MOUSE	Lamp5
PAK5_MOUSE	Pak5
ANKE1_MOUSE	Ankef1
SNP25_MOUSE	Snap25
MKKS_MOUSE	Mkks
SLX4I_MOUSE	Slx4ip
JAG1_MOUSE	Jag1
BTBD3_MOUSE	Btbd3
SPTC3_MOUSE	Sptlc3
ISM1_MOUSE	Ism1
CISY_MOUSE	Cs
TASP1_MOUSE	Tasp1
NDUF5_MOUSE	Ndufaf5
SE1L2_MOUSE	Sel1l2
MACD2_MOUSE	Macrod2
FLRT3_MOUSE	Flrt3
KI16B_MOUSE	Kif16b
RU2B_MOUSE	Snrpb2
OTOR_MOUSE	Otor
NEC2_MOUSE	Pcsk2
BFSP1_MOUSE	Bfsp1
DEST_MOUSE	Dstn
BAFL_MOUSE	Banf2
SNX5_MOUSE	Snx5
MGME1_MOUSE	Mgme1
OVOL2_MOUSE	Ovol2
PT117_MOUSE	Pet117
CSR2B_MOUSE	Kat14
DZAN1_MOUSE	Dzank1
RPC6_MOUSE	Polr3f
RBBP9_MOUSE	Rbbp9
SC23B_MOUSE	Sec23b
DTD1_MOUSE	Dtd1
SCP2D_MOUSE	Scp2d1
PRDM4_MOUSE	Prdm4
RIN2_MOUSE	Rin2
CRNL1_MOUSE	Crnkl1
CFA61_MOUSE	Cfap61
INSM1_MOUSE	Insm1
RGPA2_MOUSE	Ralgapa2
RL35A_MOUSE	Rpl35a
KIZ_MOUSE	Kiz
XRN2_MOUSE	Xrn2
NKX24_MOUSE	Nkx2-4
NKX22_MOUSE	Nkx2-2
PAX1_MOUSE	Pax1
FOXA2_MOUSE	Foxa2
SSR4_MOUSE	Sstr4
TRBM_MOUSE	Thbd
C1QR1_MOUSE	Cd93
NXT1_MOUSE	Nxt1
GZF1_MOUSE	Gzf1
SNAB_MOUSE	Napb
CSTL1_MOUSE	Cstl1
CST11_MOUSE	Cst11
CST14_MOUSE	Cst14
CST12_MOUSE	Cst12
CST8_MOUSE	Cst8
CST10_MOUSE	Cst10
SYNG1_MOUSE	Syndig1
APMAP_MOUSE	Apmap
ACS2L_MOUSE	Acss1
VSX1_MOUSE	Vsx1
ENTP5_MOUSE	Entpd5
PYGB_MOUSE	Pygb
PSF1_MOUSE	Gins1
NINL_MOUSE	Ninl
NANP_MOUSE	Nanp
NSF1C_MOUSE	Nsfl1c
FKB1A_MOUSE	Fkbp1a
SDCB2_MOUSE	Sdcbp2
SNPH_MOUSE	Snph
RD21L_MOUSE	Rad21l1
PSMF1_MOUSE	Psmf1
RSPO4_MOUSE	Rspo4
ANGP4_MOUSE	Angpt4
F110A_MOUSE	Fam110a
S52A3_MOUSE	Slc52a3
SCRT2_MOUSE	Scrt2
SRXN1_MOUSE	Srxn1
TCF15_MOUSE	Tcf15
HOIL1_MOUSE	Rbck1
NRSN2_MOUSE	Nrsn2
DFB19_MOUSE	Defb19
DFB36_MOUSE	Defb36
REM1_MOUSE	Rem1
RU1C_MOUSE	Snrpc
MCTS2_MOUSE	Mcts2
HM13_MOUSE	Hm13
ID1_MOUSE	Id1
B2CL1_MOUSE	Bcl2l1
TPX2_MOUSE	Tpx2
MYLK2_MOUSE	Mylk2
FOXS1_MOUSE	Foxs1
TTLL9_MOUSE	Ttll9
PDRG1_MOUSE	Pdrg1
XKR7_MOUSE	Xkr7
HCK_MOUSE	Hck
TM9S4_MOUSE	Tm9sf4
TSYL4_MOUSE	Tspyl4
OFUT1_MOUSE	Pofut1
KIF3B_MOUSE	Kif3b
ASXL1_MOUSE	Asxl1
NOL4L_MOUSE	Nol4l
COMD7_MOUSE	Commd7
DNM3C_MOUSE	Dnmt3c
MARE1_MOUSE	Mapre1
SUN5_MOUSE	Sun5
BPIB2_MOUSE	Bpifb2
BPIB6_MOUSE	Bpifb6
BPIB4_MOUSE	Bpifb4
BPIB1_MOUSE	Bpifb1
VOME_MOUSE	Bpifb9a
CK5P1_MOUSE	Cdk5rap1
MTG8R_MOUSE	Cbfa2t2
NECA3_MOUSE	Necab3
ACL10_MOUSE	Actl10
E2F1_MOUSE	E2f1
PXMP4_MOUSE	Pxmp4
ZN235_MOUSE	Znf235
RALY_MOUSE	Raly
IF2B_MOUSE	Eif2s2
ASIP_MOUSE	Asip
ITCH_MOUSE	Itch
DLRB1_MOUSE	Dynlrb1
MLP3A_MOUSE	Map1lc3a
PIGU_MOUSE	Pigu
T53I2_MOUSE	Tp53inp2
NCOA6_MOUSE	Ncoa6
GGT7_MOUSE	Ggt7
ACSA_MOUSE	Acss2
GSHB_MOUSE	Gss
MYH7B_MOUSE	Myh7b
EDEM2_MOUSE	Edem2
EPCR_MOUSE	Procr
MMP24_MOUSE	Mmp24
IF6_MOUSE	Eif6
FA83C_MOUSE	Fam83c
UQCC1_MOUSE	Uqcc1
GDF5_MOUSE	Gdf5
CP250_MOUSE	Cep250
ERGI3_MOUSE	Ergic3
FR1L4_MOUSE	Fer1l4
SPAG4_MOUSE	Spag4
NFS1_MOUSE	Nfs1
ROMO1_MOUSE	Romo1
RBM39_MOUSE	Rbm39
PHF20_MOUSE	Phf20
CNBD2_MOUSE	Cnbd2
E41L1_MOUSE	Epb41l1
DLGP4_MOUSE	Dlgap4
MYL9_MOUSE	Myl9
TGIF2_MOUSE	Tgif2
RAB5I_MOUSE	Rab5if
NDRG3_MOUSE	Ndrg3
SOGA1_MOUSE	Soga1
TLDC2_MOUSE	Tldc2
SAMH1_MOUSE	Samhd1
ANXA7_MOUSE	Anxa7
RBL1_MOUSE	Rbl1
RPN2_MOUSE	Rpn2
SLIB_MOUSE	Ghrh
MANBL_MOUSE	Manbal
SRC_MOUSE	Src
BLCAP_MOUSE	Blcap
CTBL1_MOUSE	Ctnnbl1
VTM2L_MOUSE	Vstm2l
TTI1_MOUSE	Tti1
RPR1B_MOUSE	Rprd1b
TGM2_MOUSE	Tgm2
RLGPB_MOUSE	Ralgapb
RHG40_MOUSE	Arhgap40
VIAAT_MOUSE	Slc32a1
ARP5_MOUSE	Actr5
PP16B_MOUSE	Ppp1r16b
FA83D_MOUSE	Fam83d
MAFB_MOUSE	Mafb
TYB10_MOUSE	Tmsb10
TOP1_MOUSE	Top1
PLCG1_MOUSE	Plcg1
ZHX3_MOUSE	Zhx3
LPIN3_MOUSE	Lpin3
EMIL3_MOUSE	Emilin3
CHD6_MOUSE	Chd6
PTPRT_MOUSE	Ptprt
LMBL1_MOUSE	L3mbtl1
SGK2_MOUSE	Sgk2
IFT52_MOUSE	Ift52
MYBB_MOUSE	Mybl2
GTSFL_MOUSE	Gtsf1l
JPH2_MOUSE	Jph2
GD1L1_MOUSE	Gdap1l1
FITM2_MOUSE	Fitm2
HNF4A_MOUSE	Hnf4a
TTPAL_MOUSE	Ttpal
SERC3_MOUSE	Serinc3
IPKG_MOUSE	Pkig
ADA_MOUSE	Ada
RIMS4_MOUSE	Rims4
1433B_MOUSE	Ywhab
TOM34_MOUSE	Tomm34
STK4_MOUSE	Stk4
KCNS1_MOUSE	Kcns1
SVS3A_MOUSE	Svs3a
SVS4_MOUSE	Svs4
CDC42_MOUSE	Cdc42
SVS6_MOUSE	Svs6
SLPI_MOUSE	Slpi
MATN4_MOUSE	Matn4
RBPJL_MOUSE	Rbpjl
SDC4_MOUSE	Sdc4
SYS1_MOUSE	Sys1
DBND2_MOUSE	Dbndd2
PIGT_MOUSE	Pigt
WFDC8_MOUSE	Wfdc8
SPIT4_MOUSE	Spint4
TDIF1_MOUSE	Dnttip1
UBE2C_MOUSE	Ube2c
TNNC2_MOUSE	Tnnc2
SNX21_MOUSE	Snx21
ACOT8_MOUSE	Acot8
ZSWM3_MOUSE	Zswim3
ZSWM1_MOUSE	Zswim1
NEUL2_MOUSE	Neurl2
PPGB_MOUSE	Ctsa
PLTP_MOUSE	Pltp
ZN335_MOUSE	Znf335
MMP9_MOUSE	Mmp9
S12A5_MOUSE	Slc12a5
TNR5_MOUSE	Cd40
CAD22_MOUSE	Cdh22
S35C2_MOUSE	Slc35c2
ELMO2_MOUSE	Elmo2
OCSTP_MOUSE	Ocstamp
S13A3_MOUSE	Slc13a3
PRPK_MOUSE	Tp53rk
GTR10_MOUSE	Slc2a10
EYA2_MOUSE	Eya2
SERF2_MOUSE	Serf2
NCOA3_MOUSE	Ncoa3
SULF2_MOUSE	Sulf2
PREX1_MOUSE	Prex1
XPO2_MOUSE	Cse1l
STAU1_MOUSE	Stau1
DDX27_MOUSE	Ddx27
ZNFX1_MOUSE	Znfx1
KCNB1_MOUSE	Kcnb1
PTGIS_MOUSE	Ptgis
B4GT5_MOUSE	B4galt5
SL9A8_MOUSE	Slc9a8
SPAT2_MOUSE	Spata2
SNAI1_MOUSE	Snai1
UB2V1_MOUSE	Ube2v1
TM189_MOUSE	Tmem189
CEBPB_MOUSE	Cebpb
PTN1_MOUSE	Ptpn1
RIPR3_MOUSE	Ripor3
PAR6B_MOUSE	Pard6b
ADNP_MOUSE	Adnp
MOCS3_MOUSE	Mocs3
KCNG1_MOUSE	Kcng1
NFAC2_MOUSE	Nfatc2
ATP9A_MOUSE	Atp9a
SALL4_MOUSE	Sall4
ZFP64_MOUSE	Zfp64
TSH2_MOUSE	Tshz2
ZN536_MOUSE	Znf536
BCAS1_MOUSE	Bcas1
CP24A_MOUSE	Cyp24a1
DOK5_MOUSE	Dok5
CBLN4_MOUSE	Cbln4
MC3R_MOUSE	Mc3r
F210B_MOUSE	Fam210b
AURKA_MOUSE	Aurka
CASS4_MOUSE	Cass4
RTF2_MOUSE	Rtf2
GCNT7_MOUSE	Gcnt7
BMP7_MOUSE	Bmp7
RAE1L_MOUSE	Rae1
RBM38_MOUSE	Rbm38
CTCFL_MOUSE	Ctcfl
PCKGC_MOUSE	Pck1
ZBP1_MOUSE	Zbp1
PMEPA_MOUSE	Pmepa1
PP4R1_MOUSE	Ppp4r1
RB22A_MOUSE	Rab22a
VAPB_MOUSE	Vapb
APCD1_MOUSE	Apcdd1
STX16_MOUSE	Stx16
PEPL1_MOUSE	Npepl1
GNAS3_MOUSE	Gnas
GNAS1_MOUSE	Gnas
GNAS2_MOUSE	Gnas
NELFD_MOUSE	Nelfcd
CATZ_MOUSE	Ctsz
TBB1_MOUSE	Tubb1
EDN3_MOUSE	Edn3
PHAR3_MOUSE	Phactr3
SYCP2_MOUSE	Sycp2
PPR3E_MOUSE	Ppp1r3e
CAD26_MOUSE	Cdh26
CADH4_MOUSE	Cdh4
TAF4B_MOUSE	Taf4b
LS14B_MOUSE	Lsm14b
CREST_MOUSE	Ss18l1
HRH3_MOUSE	Hrh3
OSBL2_MOUSE	Osbpl2
ADRM1_MOUSE	Adrm1
LAMA5_MOUSE	Lama5
CABL2_MOUSE	Cables2
GATA5_MOUSE	Gata5
